type,item,subject,is_are,property,origin,Truth.judgment,Cue.validity.estimate,Prevalence.estimate,in.general,by.virtue.of,causal.essence,statistical,formal,should
principled,leopards have spots,leopards,are they,have spots,2013,2.17,0.68,88.32,,,,,,
statistical,leopards are predators,leopards,are they,are predators,novel,,,,,,,,,
principled,lifeguards can swim ,lifeguards,are they,can swim,2006,,,95.87,4.28,6.33,2.89,5.56,5.06,6.83
statistical,lifeguards are muscular,lifeguards,are they,are muscular,novel,,,,,,,,,
principled,lions have manes,lions,are they,have manes,2013,1.46,0.89,53.63,,,,,,
statistical,lions are male,lions,are they,are male,2013,0.04,0.16,57.11,,,,,,
principled,mammals wean their young,mammals,are they,wean their young,novel,,,,,,,,,
statistical,mammals are placental mammals,mammals,are they,are placental mammals,2013,0.92,1.89,69.21,,,,,,
principled,milk is white,milk,is it,is white,2006,,,92.12,5.06,4.83,3,5.17,4.17,5.39
statistical,milk comes from cows,milk,is it,comes from cows,novel,,,,,,,,,
principled,moose have antlers,moose,are they,have antlers,2013,1.79,0.67,60.21,,,,,,
statistical,moose are brown,moose,are they,are brown,novel,,,,,,,,,
principled,mormons don’t drink alcohol,Mormons,are they,don’t drink alcohol,2006,,,70.28,5.39,5.22,3.33,5.56,4.72,5.39
statistical,mormons live in utah,Mormons,are they,live in Utah,novel,,,,,,,,,
principled,mushrooms are fungi,mushrooms,are they,are fungi,2013,2.46,1.47,90.11,,,,,,
statistical,mushrooms are used in cooking,mushrooms,are they,are used in cooking,novel,,,,,,,,,
principled,muslims pray to allah,Muslims,are they,pray to Allah,novel,,,,,,,,,
statistical,muslims are middle eastern,Muslims,are they,are Middle Eastern,2006,,,66.57,4.94,2.67,1.94,3.28,4.5,1.94
principled,needles are sharp,needles,are they,are sharp,2006 & 2013,2.42,0.42,96.47,5.22,6.17,2.83,5.00,5.33,6.61
statistical,needles are sterile,needles,are they,are sterile,novel,,,,,,,,,
principled,oranges grow on trees,oranges,are they,grow on trees,novel,,,,,,,,,
statistical,oranges are grown in florida,oranges,are they,are grown in Florida,2006,,,66.2,5.28,3.83,2.33,4.39,4.44,2.17
principled,peacocks have beautiful tails,peacocks,are they,have beautiful tails,2013,1.91,1.32,64.63,,,,,,
statistical,peacocks are ornamental pets,peacocks,are they,are ornamental pets,novel,,,,,,,,,
principled,pigeons have feathers,pigeons,are they,have feathers,novel,,,,,,,,,
statistical,pigeons sit on statues ,pigeons,are they,sit on statues,2006,,,66.88,5.67,3.06,2.28,3.78,1.61,3.5
principled,pigs suckle their young,pigs,are they,suckle their young,2013,1.54,-0.53,60.95,,,,,,
statistical,pigs are kept in pens ,pigs,are they,are kept in pens,2006,,,74.23,6.11,4.11,2.22,3.89,3.06,2.61
principled,police officers wear badges,police officers,are they,wear badges,2006,,,93.47,5.61,5.44,2.28,5.56,5.22,5.89
statistical,police officers eat donuts,police officers,are they,eat donuts,2006,,,63.19,5.39,1.83,2.5,3.78,3.5,1.78
principled,preschoolers cannot vote,preschoolers,are they,cannot vote,2013,2.13,0.26,91.58,,,,,,
statistical,preschoolers cannot read,preschoolers,are they,cannot read,novel,,,,,,,,,
principled,professors are highly educated,professors,are they,are highly educated,novel,,,,,,,,,
statistical,professors are absent-minded ,professors,are they,are absent-minded,2006,,,40.47,4.17,2.11,2.11,3.28,3.61,1.67
principled,raccoons look like bandits,raccoons,are they,look like bandits,novel,,,,,,,,,
statistical,raccoons eat garbage,raccoons,are they,eat garbage,2006 & 2013,1.13,0.53,67.71,5.28,3.22,2.06,3.61,3.72,2.11
principled,raincoats are waterproof,raincoats,are they,are waterproof,2006,,,96.38,6.00,5.56,2.72,5.72,5.39,6.78
statistical,raincoats are plastic,raincoats,are they,are plastic,novel,,,,,,,,,
principled,rocking chairs are unstable,rocking chairs,are they,are unstable,novel,,,,,,,,,
statistical,rocking chairs are wooden,rocking chairs,are they,are wooden,2006 & 2013,0.83,-0.26,75.88,5.61,2.78,2.06,3.22,5.11,3.94
principled,rocks are hard ,rocks,are they,are hard,2006,,,95.69,4.39,5.72,3.67,5.56,5,5.61
statistical,rocks are jagged ,rocks,are they,are jagged,2006,,,74.83,5.78,4.5,1.94,4.5,1.61,1.39
principled,roller skates have wheels,roller skates,are they,have wheels,2006,,,94.61,3.61,5.56,2.78,4.94,5.00,6.83
statistical,roller skates have laces,roller skates,are they,have laces,novel,,,,,,,,,
principled,sandpaper is rough,sandpaper,is it,is rough,2006,,,95.75,5.33,5.89,2.89,5.28,4.50,5.89
statistical,sandpaper is sold at the hardware store,sandpaper,is it,is sold at the hardware store,novel,,,,,,,,,
principled,scissors cut,scissors,are they,cut,2006 & 2013,2.67,1.00,93.25,4.56,5.22,2.78,5.33,4.61,6.56
statistical,scissors are right-handed,scissors,are they,are right-handed,novel,,,,,,,,,
principled,sheep produce milk,sheep,are they,produce milk,2013,2,0.06,51.89,,,,,,
statistical,sheep live in herds,sheep,are they,live in herds,novel,,,,,,,,,
principled,shower caps are waterproof,shower caps,are they,are waterproof,novel,,,,,,,,,
statistical,shower caps are transparent,shower caps,are they,are transparent,2006,,,63.57,4.72,2.28,1.5,3,4.89,4.17
principled,snakes lay eggs,snakes,are they,lay eggs,2013,2,0.32,63.68,,,,,,
statistical,snakes are long,snakes,are they,are long,novel,,,,,,,,,
principled,snow is white ,snow,is it,is white,2006,,,95.81,5.28,5.28,2.94,5.22,4.78,5.5
statistical,snow falls in the winter,snow,is it,snow falls in the winter,novel,,,,,,,,,
principled,sows are pigs,sows,are they,are pigs,2013,1.74,0.58,80.37,,,,,,
statistical,sows are pink,sows,are they,are pink,novel,,,,,,,,,
principled,spandex is stretchy,spandex,is it,is stretchy,2006,,,94.10,4.94,5.78,3.00,4.83,4.78,6.67
statistical,spandex is thin,spandex,is it,is thin,novel,,,,,,,,,
principled,spinach is green ,spinach,are they,is green,2006,,,95.13,5.56,4.61,2.5,4.61,4.44,6
statistical,spinach is sold in bags,spinach,are they,is sold in bags,novel,,,,,,,,,
principled,squirrels live in trees,squirrels,are they,live in trees,novel,,,,,,,,,
statistical,squirrels live in parks,squirrels,are they,live in parks,2006,,,68.25,6.11,4.39,2,4,3.22,4.13
principled,strawberries are red ,strawberries,are they,are red,2006,,,91.18,5.44,4.5,3.06,5.44,4.5,5.28
statistical,strawberries are sold in boxes,strawberries,are they,are sold in boxes,novel,,,,,,,,,
principled,submarines are airtight,submarines,are they,are airtight,2006,,,95.34,4.72,6.50,2.33,4.94,4.72,6.06
statistical,submarines are black,submarines,are they,are black,novel,,,,,,,,,
principled,summers are warm,summers,are they,are warm,novel,,,,,,,,,
statistical,summers are humid ,summers,are they,are humid,2006 & 2013,1.21,1.16,77.89,6.11,4.28,2.17,3.33,3.72,4.94
principled,tables are flat,tables,are they,are flat,2006 & 2013,2.29,0.05,94.85,5.44,6.11,2.67,5.50,5.39,5.72
statistical,tables are made of wood,tables,are they,are made of wood,2006,,,65.49,5.39,3.11,2,3.17,5,2.17
principled,taxis transport people,taxis,are they,transport people,novel,,,,,,,,,
statistical,taxis are yellow ,taxis,are they,are yellow,2006,,,80.01,5.06,3.17,1.5,3.67,5.06,5.11
principled,teachers impart knowledge ,teachers,are they,impart knowledge,2006,,,87.99,5.39,5.56,3.22,4.89,4.83,6.39
statistical,teachers are female,teachers,are they,are female,2013,0.26,0.16,65.21,,,,,,
principled,tightrope walkers have good balance,tightrope walkers,are they,have good balance,2006,,,94.26,6.22,5.94,3.5,4.94,4.89,6.5
statistical,tightrope walkers work in the circus,tightrope walkers,are they,work in the circus,novel,,,,,,,,,
principled,trains travel on tracks,trains,are they,travel on tracks,2006,,,98.53,4.39,6.00,2.11,4.89,5.11,6.17
statistical,trains are long,trains,are they,are long,novel,,,,,,,,,
principled,trampolines are bouncy,trampolines,are they,are bouncy,2006,,,96.22,4.89,5.94,2.78,5.28,5.00,6.67
statistical,trampolines are black,trampolines,are they,are black,2006,,,64.29,4.94,1.94,1.89,3.22,5.28,5.22
principled,trumpets are instruments,trumpets,are they,are instruments,novel,,,,,,,,,
statistical,trumpets are loud,trumpets,are they,are loud,2013,1.38,0.11,79.47,,,,,,
principled,turtles walk slowly ,turtles,are they,walk slowly,2006,,,93.55,5.11,4.83,2.89,4.67,4.94,4.44
statistical,turtles eat lettuce,turtles,are they,eat lettuce,novel,,,,,,,,,
principled,united states presidents are over 35,United States presidents,are they,are over 35,2013,2.74,-0.68,87.26,,,,,,
statistical,united states presidents are men,United States presidents,are they,are men,novel,,,,,,,,,
principled,wallets hold money,wallets,are they,hold money,novel,,,,,,,,,
statistical,wallets are made of leather,wallets,are they,are made of leather,2006,,,63.53,5.67,2.11,1.72,3.06,4.22,4.67
principled,winters are cold,winters,are they,are cold,novel,,,,,,,,,
statistical,winters are snowy ,winters,are they,are snowy,2006 & 2013,1.29,1.58,72.39,6,4.5,2.28,4.72,4.11,3.06
principled,worms live in the ground,worms,are they,live in the ground,novel,,,,,,,,,
statistical,worms are used as bait,worms,are they,are used as bait,2006,,,62.59,5.61,3.72,1.94,3.44,3.17,3.72
